phonemized_utterance	processed_gloss
k ʌ m ʌ p h ɪ ɹ ɹ aɪ t n aʊ	come up here right now .
h iː ʌ p h ɪ ɹ	he up here ?
aɪ h æ v w ʌ n d aʊ n h ɪ ɹ	i have one down here .
n aʊ j ʊ ɹ ɡ ə n ə iː t ɪ t	now you're gonna eat it ?
w ʌ t s ð ɪ s w ɪ ð h ɪ z w ʌ t	what's this with his what ?
w ʌ t w ʌ t w ʌ t w ʌ t w ʌ t	what what what what what ?
ʃ iː w ɔ n ə s iː	she wanna see .
ð æ t s ɡ ʊ d ɹ aɪ t	that's good right .
j ʊ ɹ ɡ ə n ə p ʊ t ð ɛ m ð ɛ ɹ	you're gonna put them there .
j uː l aɪ k ð æ t	you like that !
n oʊ w ʌ t d uː j uː s eɪ	no what do you say ?
h ɪ ɹ ɑː ɹ s ʌ m	here are some .
n aʊ p ʊ t ɪ ɾ ɔ n	now put it on .
w ʌ t k æ n ð eɪ d uː	what can they do ?
p ʊ t ɪ ɾ ʌ p w ɛ ɹ	put it up where ?
h aʊ d ɪ d aɪ d uː ð æ t	how did i do that ?
k æ n ð ɪ s b iː	can this be ?
s iː j uː l aɪ k	see you like .
w ɛ l ɪ f j uː d oʊ n t	well if you don't .
w ʌ t h æ v w iː ɡ ɑː t h ɪ ɹ	what have we got here ?
aɪ m d̠ʒ ʌ s t	i'm just .
w ʌ t d ʌ z h iː d uː ð ɛ ɹ	what does he do there ?
j uː k æ n ɡ oʊ	you can go .
b eɪ b i d oʊ n t	baby don't .
ɡ ə n ə iː t h ɪ m	gonna eat him ?
f ɔː ɹ n aʊ ɪ t s	for now it's .
w ɛ l j uː θ ɪ ŋ k ɐ b aʊ t ɪ t	well you think about it .
d ɪ d j uː s eɪ ʌ m	did you say um ?
d ʌ z ɪ t l ʊ k l aɪ k ð ɪ s	does it look like this ?
æ ɾ ɔː l b ʌ t	at all but .
w ɔ n ə s iː m iː d uː ɪ t	wanna see me do it ?
h ɪ ɹ l ɛ t s p ʊ t ð ɛ m ɔ n	here let's put them on !
s oʊ ð eɪ ð ɛ ɹ ɪ ɾ ɪ z	so they there it is .
æ n d ð eɪ h æ v	and they have .
h aʊ ɑː ɹ j uː d aʊ n ð ɛ ɹ	how are you down there ?
w ɛ l k æ n aɪ iː t ɪ t	well can i eat it ?
n oʊ ɪ t s f ɔː ɹ h ɜː	no it's for her .
l ɛ t s p ʊ t ð ɪ s d aʊ n h ɪ ɹ	let's put this down here .
l ɛ t s ɡ oʊ ɪ n	let's go in .
ɔː ɹ d ɪ d j uː d̠ʒ ʌ s t n oʊ	or did you just know ?
j ɛ h j uː w ɔ n t aʊ t	yeah you want out .
n aʊ j uː w ɔ n ə d uː ð æ t	now you wanna do that ?
l ʊ k h aʊ b ɪ ɡ h iː ɡ ɑː t	look how big he got !
ʌ m ð ɪ s ɪ z ɡ ʊ d	um this is good .
aɪ w ɔ n t j uː	i want you .
aɪ k æ n s iː h ɜː	i can see her .
w ʌ t d ɪ d j uː m eɪ k ð ɛ ɹ	what did you make there ?
w ɛ ɹ ɹ aɪ t h ɪ ɹ	where right here ?
b ɪ k ʌ z ð eɪ d̠ʒ ʌ s t ɑː ɹ	because they just are .
n oʊ j uː k ʌ m oʊ v ɚ h ɪ ɹ	no you come over here .
w ɛ l aɪ θ ɪ ŋ k aɪ h æ v	well i think i have .
æ n d s oʊ ʃ iː	and so she .
θ ɪ ŋ k oʊ k eɪ	think okay ?
ð æ t s w ʌ t j uː s eɪ	that's what you say ?
p ʊ t h ɪ m ɔ n h ɪ ɹ	put him on here .
b eɪ b i j ɛ h	baby yeah !
k æ n j uː ɡ ɛ t w ʌ n	can you get one ?
n oʊ w ʌ t n oʊ w ʌ t	know what know what ?
ð eɪ ɑː ɹ ɹ aɪ t ð ɛ ɹ	they are right there .
oʊ ɪ n ð ɛ ɹ j ɛ h	oh in there yeah .
d ʌ z ɪ t ɡ ɛ t h ɪ m	does it get him ?
æ n d h iː z j ʊ ɹ l ɪ ɾ ə l	and he's your little .
aɪ n oʊ w iː h æ v ɪ t	i know we have it .
p l eɪ ɪ n ɪ t	play in it .
p ʊ t ð æ t ð ɛ ɹ	put that there .
oʊ j ʊ ɹ ɡ ə n ə iː t ɪ t	oh you're gonna eat it ?
l ʊ k w ʌ t w iː h æ v	look what we have .
oʊ d ɪ d ʃ iː d uː ð æ t	oh did she do that ?
w ɛ l l ʊ k ɪ t	well look it .
ð ɪ s oʊ v ɚ ð ɛ ɹ	this over there ?
j ɛ h ɹ aɪ t j ɛ h	yeah right yeah .
d aʊ n ð ɛ ɹ	down there .
j uː d oʊ n t n oʊ ɪ t	you don't know it .
j ɛ h j ʊ ɹ ɹ aɪ t	yeah you're right .
j uː l aɪ k ð ɪ s b eɪ b i	you like this baby ?
oʊ k eɪ j uː w ɔ n ə d uː	okay you wanna do .
j uː ɡ ə n ə m eɪ k s ʌ m	you gonna make some .
oʊ l ɛ t s n ɑː t iː t ð æ t	oh let's not eat that .
ɡ oʊ d uː ɪ t	go do it .
d uː j uː w ɔ n t d aʊ n	do you want down ?
ð ɛ ɹ w ʌ t d ɪ d j uː d uː	there what did you do ?
oʊ w ʌ t d ɪ d j uː d uː	oh what did you do ?
k ʌ m w ɪ ð m iː	come with me !
j uː w ɔ n ə b iː ð ə w ʌ n	you wanna be the one ?
n aʊ j uː ɡ ɑː t ɪ t	now you got it .
ɐ b aʊ t ɪ n h ɪ ɹ	about in here ?
h iː z ɡ ə n ə p l eɪ w ɪ ð j uː	he's gonna play with you ?
w ʌ n k æ n	one can !
n ɑː t s oʊ ɡ ʊ d f ɔː ɹ j uː	not so good for you .
k æ n j uː p ʊ t ð æ t	can you put that .
p ʊ t ɪ ɾ ʌ p ð ɛ ɹ	put it up there ?
d oʊ n t n oʊ w ʌ t h iː ɪ z	don't know what he is .
æ n d w ɛ ɹ ʌ m	and where um .
oʊ k eɪ s oʊ s eɪ ɪ t	okay so say it .
w ʌ t w iː d ɪ d	what we did .
ɪ z ð æ t w ʌ t h iː	is that what he .
ɑː ɹ j uː m aɪ b eɪ b i	are you my baby ?
t ə m aɪ	to my .
aɪ d uː aɪ d uː	i do i do .
n oʊ d̠ʒ ʌ s t p ʊ t ɪ ɾ ʌ p	no just put it up .
ð ɛ ɹ j uː ɡ oʊ ð ɛ ɹ	there you go there .
w ʌ t d ʌ z ɪ t d uː	what does it do .
ð ɪ s ɪ z h aʊ ð eɪ ɡ oʊ	this is how they go .
n oʊ ɐ b ɪ ɡ w ʌ n	no a big one .
j uː d oʊ n t	you don't ?
aɪ m n ɑː t j ʊ ɹ b eɪ b i	i'm not your baby .
l ɛ t s p ʊ t ð ɪ s d aʊ n	let's put this down .
d aʊ n k ʌ m oʊ v ɚ h ɪ ɹ	down come over here .
l ɛ t s p ʊ t ɪ ɾ ɔ n j uː	let's put it on you .
j uː l aɪ k ð ɛ m	you like them ?
w ɛ l ɪ t ɡ ɑː t m iː	well it got me .
s oʊ ɪ t w ʌ z	so it was .
d uː ð ɛ m	do them .
l ʊ k æ ɾ ɔː l ð ɪ s	look at all this !
æ n d w ʌ t ɪ z ð æ t	and what is that .
w ɔ n ə ɡ oʊ s iː ð ə b eɪ b i	wanna go see the baby ?
æ n d w ʌ t ɪ f j uː s eɪ	and what if you say .
w ɛ l w ɛ ɹ ɑː ɹ ð eɪ	well where are they ?
æ n d w ʌ t ð ɪ s	and what this ?
ɡ ɑː t h ɜː	got her ?
j uː w ɔ n ə w ʌ t	you wanna what ?
æ n d w ɛ ɹ ɪ z h iː n aʊ	and where is he now ?
oʊ j uː w ɔ n ə ɡ ɛ t	oh you wanna get .
j uː d oʊ n t θ ɪ ŋ k ɪ ɾ ɪ z	you don't think it is ?
s oʊ ɑː ɹ j uː	so are you ?
w ɛ ɹ d ɪ d ð ə b eɪ b i ɡ oʊ	where did the baby go ?
n oʊ j ʊ ɹ n oʊ ɡ ʊ d	no you're no good .
n aʊ ɪ t s n ɑː t	now it's not .
aɪ w ɔ n ə p ʊ t ɪ t ɹ aɪ t	i wanna put it right .
d oʊ n t s eɪ ð æ t	don't say that .
ð æ t s ɹ aɪ t æ n d w ʌ t s ð ɪ s	that's right and what's this ?
ʌ v w ʌ t	of what ?
s iː ð ɛ ɹ z n oʊ	see there's no .
oʊ j ɛ h h iː d ʌ z	oh yeah he does ?
oʊ w ɛ l oʊ k eɪ	oh well okay .
oʊ k eɪ j ʊ ɹ n ɑː t	okay you're not .
w ɪ ð w ʌ n	with one ?
d oʊ n t m eɪ k h ɜː	don't make her .
ɪ z ð æ t oʊ k eɪ f ɔː ɹ j uː	is that okay for you ?
w ʌ t d ɪ d ɪ t s eɪ	what did it say ?
s oʊ ɪ t s ɪ t s w ʌ t	so it's it's what ?
w ʌ n ɪ n	one in .
j ʊ ɹ oʊ k eɪ h ɪ ɹ	you're okay here .
k æ n aɪ l aɪ k	can i like .
n aʊ w ʌ t s ɡ oʊ ɪ ŋ ɔ n	now what's going on ?
oʊ oʊ k eɪ s iː	oh okay see .
ð æ t s ɹ aɪ t j uː ɑː ɹ	that's right you are .
ð æ t s ɔː l ʌ v ɪ t	that's all of it .
w ɛ l k æ n aɪ	well can i ?
ð ɛ n w ʌ t s ð ɪ s ð ɛ n	then what's this then ?
j ɛ h ɐ b aʊ t	yeah about .
aɪ m ɡ ə n ə ɡ ɛ t j uː	i'm gonna get you !
d uː aɪ ɡ ɛ t t uː	do i get to .
j ɛ h æ n d ð ɛ n	yeah and then .
aɪ w ʌ t d ɪ d aɪ d uː	i what did i do ?
oʊ ɪ z ð æ t ɡ ʊ d	oh is that good .
j ɛ h oʊ k eɪ	yeah okay !
w ɛ l ɡ ɛ t d aʊ n ð ɛ n	well get down then !
oʊ aɪ w ɔ n ə ɡ oʊ	oh i wanna go .
n aʊ p ʊ t ɪ t ɹ aɪ t h ɪ ɹ	now put it right here !
k ʌ m ɔ n ʌ p	come on up !
oʊ aɪ l aɪ k h ɪ m	oh i like him !
j ɛ h ð æ t s m aɪ b eɪ b i	yeah that's my baby .
b ʌ t ɪ t s ɐ k æ n	but it's a can !
d oʊ n t p l eɪ w ɪ ð ð æ t n aʊ	don't play with that now .
n oʊ h iː z ʌ p ð ɛ ɹ	no he's up there .
j uː ɡ ɑː t ɪ t	you got it .
ð eɪ d ɪ d	they did .
h aʊ ɐ b aʊ t f ɔː ɹ b eɪ b i	how about for baby ?
j uː d ɪ d ɐ p l eɪ	you did a play ?
oʊ aɪ d oʊ n t θ ɪ ŋ k s oʊ	oh i don't think so .
d ʌ z ɪ t	does it .
ð eɪ p ʊ t ð eɪ p ʊ t	they put they put .
ɔː l aɪ h æ v ɪ z	all i have is .
ð ɛ ɹ j uː ɡ oʊ b eɪ b i	there you go baby .
d oʊ n t ɡ ɛ t aʊ t	don't get out !
ð ɪ s w ʌ t s ð ɪ s	this what's this ?
ð eɪ l ʊ k b ɪ ɡ	they look big .
j uː w ɔ n ə l ʊ k æ t w ʌ t	you wanna look at what ?
w ɛ l w ʌ t s ð ɪ s ʌ p h ɪ ɹ	well what's this up here ?
oʊ ɹ aɪ t ɹ aɪ t	oh right right .
h iː w ʌ z t uː b ɪ ɡ	he was too big .
oʊ ð ɛ ɹ j uː	oh there you .
æ n d ð ɪ s æ n d ð ɪ s	and this and this .
j ɛ h w ɪ ð j uː	yeah with you .
j ɛ h ð ɛ ɹ h iː ɪ z	yeah there he is !
oʊ oʊ aɪ n oʊ	oh oh i know .
ɡ ʊ d j ɛ h j ɛ h	good yeah yeah .
n oʊ j uː p ʊ t	no you put .
oʊ w ɛ l w ʌ t s ð ɪ s	oh well what's this ?
aɪ k æ n iː t ð ɪ s	i can eat this ?
w ʌ t ʃ iː θ ɪ ŋ k	what she think ?
ɪ z ɹ aɪ t ð ɛ ɹ j ɛ h	is right there yeah .
ɪ t s ɔː l oʊ v ɚ	it's all over ?
oʊ ð eɪ l ʊ k s oʊ ɡ ʊ d	oh they look so good .
n oʊ ð æ t s w ɪ ð ð æ t	no that's with that .
oʊ k eɪ n aʊ l ɛ t s	okay now let's .
ɑː ɹ j uː ɡ oʊ ɪ ŋ t ə p l eɪ	are you going to play ?
w ʌ t s w ɪ ð ɪ t	what's with it ?
s oʊ ɪ t s ʌ m	so it's um .
aɪ θ ɪ ŋ k aɪ m t uː b ɪ ɡ	i think i'm too big .
j ɛ h oʊ l ʊ k	yeah oh look !
d ʌ z ɪ t d̠ʒ ʌ s t	does it just .
d ʌ z ɔː l ð ɪ s k ʌ m	does all this come ?
aɪ m d̠ʒ ʌ s t ɡ ə n ə	i'm just gonna .
j uː l aɪ k h ɜː	you like her .
ɪ t s ɐ aɪ ɹ aɪ t	it's a i right .
f ɔː ɹ ɡ ʊ d	for good .
w ɛ ɹ j uː θ ɪ ŋ k j ʊ ɹ ɡ oʊ ɪ ŋ	where you think you're going ?
w ʌ t j uː ɡ ɑː t ɪ n h ɪ ɹ	what you got in here ?
w ɛ ɹ ɪ z ð ɪ eɪ	where is the a ?
h ɪ ɹ ð ɛ ɹ j uː ɡ oʊ	here there you go .
j uː m eɪ k ɐ w ʌ t	you make a what ?
ɪ z ð ɪ s m iː oʊ v ɚ h ɪ ɹ	is this me over here ?
oʊ w ʌ t d ʌ z ð æ t d uː	oh what does that do ?
w ɪ ð m aɪ	with my ?
l ɛ t s p ʊ t ð ɛ m ɔː l ɔ n	let's put them all on .
oʊ l aɪ k oʊ k eɪ	oh like okay .
h iː z b ɪ ɡ t uː	he's big too ?
n oʊ aɪ d oʊ n t θ ɪ ŋ k ɪ t	no i don't think it .
ɡ ɛ t j ʊ ɹ b eɪ b i	get your baby !
oʊ w iː ɑː ɹ	oh we are ?
k ʌ m ɔ n ɡ ɛ t d aʊ n ð ɛ n	come on get down then .
ɪ n ð ɛ ɹ	in there ?
j ɛ h d uː j uː w ɔ n t w ʌ n	yeah do you want one ?
d oʊ n t n oʊ h aʊ	don't know how .
w ʌ t d ʌ z h iː iː t ð ɛ n	what does he eat then ?
d aʊ n d aʊ n æ n d oʊ v ɚ	down down and over .
d uː j uː ɡ ɛ t ɪ t	do you get it ?
k æ n k ʌ m aʊ t	can come out .
aɪ θ ɪ ŋ k j uː d uː	i think you do .
j uː iː t h ɪ m	you eat him ?
j uː w ɔ n ə ɡ oʊ d aʊ n n aʊ	you wanna go down now ?
k ʌ m ɔ n ʌ p h ɪ ɹ	come on up here .
d ʌ z h iː l aɪ k	does he like ?
w ʌ t d ɪ d h iː d uː	what did he do ?
ɪ t s n ɑː t	it's not !
θ ɪ ŋ k h iː z aʊ t	think he's out .
æ n d h aʊ ɐ b aʊ t m iː	and how about me ?
w ʌ t ɑː ɹ ð eɪ f ɔː ɹ	what are they for ?
w ʌ t ɪ z ð ɪ s d aʊ n h ɪ ɹ	what is this down here .
s eɪ w ʌ n	say one .
s oʊ aɪ	so i .
d oʊ n t iː t m iː ʌ p	don't eat me up !
n oʊ n oʊ j uː s eɪ	no no you say .
ð ɪ s b ɪ ɡ b eɪ b i	this big baby .
ʌ m aɪ d oʊ n t θ ɪ ŋ k s oʊ	um i don't think so .
n oʊ l ʊ k ɪ t	no look it .
aɪ n oʊ j uː l aɪ k	i know you like .
w ɛ l b ɪ k ʌ z θ ɪ ŋ k ɐ b aʊ t ɪ t	well because think about it .
l ɛ t s s iː w ɛ ɹ h iː ɪ z	let's see where he is .
ɹ aɪ t h ɪ ɹ ɔː ɹ ɹ aɪ t ð ɛ ɹ	right here or right there ?
ɔ n m iː ɔː ɹ ɔ n j uː	on me or on you ?
l ʊ k l ʊ k w ʌ t aɪ ɡ ɑː t	look look what i got .
ɹ aɪ t h ɪ z	right his .
oʊ æ n d ð ɛ n w ʌ t	oh and then what ?
w ɛ ɹ w ʌ z h iː	where was he ?
j ɛ h h ɪ ɹ ɪ ɾ ɪ z	yeah here it is .
h iː θ ɪ ŋ k h iː ɔː l ð æ t	he think he all that .
ɪ t s n ɑː t ɪ n h ɪ ɹ	it's not in here ?
ð ɪ ɔː ɹ j ʊ ɹ	the or your ?
d ʌ z ʃ iː h æ v	does she have .
ɔː ɹ d aʊ n h ɪ ɹ	or down here ?
k æ n aɪ h iː z d̠ʒ ʌ s t	can i he's just .
k ʌ m ɔ n aɪ m ɡ oʊ ɪ ŋ	come on i'm going .
aɪ k æ n s iː n aʊ	i can see now .
j ɛ h k ʌ m ɡ ɛ t ð ɛ m	yeah come get them !
l ɛ t s ɡ ɛ t	let's get .
ð ɛ ɹ j ɛ h	there yeah .
j uː w ɔ n t ð ɛ m ɹ aɪ t n aʊ	you want them right now ?
j ʊ ɹ ɹ aɪ t	you're right ?
j ɛ h ð æ t s ɐ ɡ ʊ d b eɪ b i	yeah that's a good baby .
n oʊ ɹ aɪ t h ɪ ɹ	no right here .
h aʊ d ɪ d j uː d uː ð ɪ s	how did you do this ?
ɪ z ð æ t ɔː l h iː d ʌ z	is that all he does ?
ð ɪ s ɡ oʊ ɪ n ð ɛ ɹ	this go in there .
j ʊ ɹ n ɑː t ɡ ə n ə ɡ ɛ t ð ɛ m	you're not gonna get them .
h aʊ k æ n ɪ t d uː ɪ t	how can it do it ?
w iː h æ v ð æ t	we have that .
oʊ k eɪ ɪ t s oʊ k eɪ	okay it's okay .
oʊ j uː θ ɪ ŋ k	oh you think .
w ɛ ɹ d uː ð eɪ	where do they ?
k æ n j uː s eɪ ʌ p d aʊ n	can you say up down ?
j uː d oʊ n t l aɪ k ð ɛ m ɹ aɪ t	you don't like them right ?
j ʊ ɹ n ɑː t ɡ ə n ə iː t ð ɛ m	you're not gonna eat them .
ð ɛ n p ʊ t ɪ ɾ ɔ n	then put it on .
ɡ ɑː t ð ɪ s	got this .
j ɛ h ð æ t s w ʌ t ð æ t ɪ z	yeah that's what that is .
w ʌ t k æ n aɪ ɡ ɛ t	what can i get ?
j uː p ʊ t ð ɪ s d aʊ n h ɪ ɹ	you put this down here .
j uː m aɪ b eɪ b i	you my baby .
n aʊ w ʌ t d uː j uː s iː	now what do you see ?
j uː ɑː ɹ s oʊ ɡ ʊ d	you are so good .
oʊ oʊ aɪ s iː	oh oh i see .
oʊ b eɪ b i d ɪ d	oh baby did .
n oʊ ɪ t s ɪ n	no it's in .
aɪ m ɡ ə n ə p ʊ t ɐ l ɪ ɾ ə l	i'm gonna put a little .
æ n d j uː k æ n h æ v	and you can have .
ð æ t s ɹ aɪ t l ʊ k	that's right look !
w ʌ t d uː j uː θ ɪ ŋ k ʌ m	what do you think um .
j uː k æ n s eɪ ð æ t	you can say that ?
b ʌ t ð æ t s	but that's .
j uː n oʊ w ʌ t	you know what !
ð æ t s n ɑː t n oʊ	that's not no !
w ʌ t w ʌ z w ʌ t w ʌ z ð ɪ s	what was what was this ?
aɪ d ɪ d aɪ d ɪ d	i did i did .
h ɪ ɹ l ʊ k w ʌ t s ð ɪ s	here look what's this ?
ɪ n w iː ɡ oʊ	in we go .
oʊ ð eɪ ɑː ɹ	oh they are ?
d uː j uː ð ə b eɪ b i	do you the baby ?
ɑː ɹ eɪ	are a .
æ n d s ʌ m ð ɛ ɹ	and some there .
p ʊ t ð æ t d aʊ n n aʊ	put that down now .
oʊ j uː iː t ð æ t	oh you eat that .
d ʌ z h iː iː t ɪ t	does he eat it ?
n aʊ ɪ t s w ʌ z	now it's was ?
æ n d æ n d ɐ b ɪ ɡ	and and a big .
n oʊ n ɑː t ɔ n m iː	no not on me !
oʊ j uː ɡ ɑː t ɪ t	oh you got it ?
k æ n w iː p l eɪ w ɪ ð h ɪ m	can we play with him ?
ð æ t s w ʌ t h iː ɪ z	that's what he is .
d̠ʒ ʌ s t l aɪ k ɪ t w ʌ z	just like it was .
k ʌ m ɔ n l ɛ t s d uː ɪ t	come on let's do it .
j ʊ ɹ ɡ ə n ə k ʌ m	you're gonna come ?
ɪ t s oʊ v ɚ ð ɛ ɹ	it's over there ?
ɹ aɪ t ɹ aɪ t	right right ?
oʊ s oʊ h iː w ʌ z l aɪ k	oh so he was like .
t ə ɡ ɛ t d aʊ n	to get down ?
aɪ θ ɪ ŋ k j uː k æ n d̠ʒ ʌ s t	i think you can just .
j uː d ɪ d j ɛ h	you did yeah .
w ɛ l j uː n oʊ aɪ m	well you know i'm .
n ɑː t j uː	not you !
ɑː ɹ j uː ɡ oʊ ɪ ŋ d aʊ n	are you going down ?
p ʊ t ɪ t ɹ aɪ t ʌ p ð ɛ ɹ	put it right up there .
aɪ w ʌ t	i what ?
m eɪ k ð æ t ð ɛ n	make that then .
w ʌ z ʃ iː	was she .
ɪ f aɪ w ɔ n ə	if i wanna ?
h ɪ ɹ h aʊ ɐ b aʊ t	here how about .
k æ n aɪ d̠ʒ ʌ s t l ʊ k	can i just look ?
j ɛ h ɪ t s l aɪ k	yeah it's like .
w ʌ t ɑː ɹ ð ə	what are the ?
w ʌ t ɪ z ð æ t l aɪ k eɪ	what is that like a .
ɡ ɑː t ð ə b eɪ b i	got the baby ?
ɹ aɪ t ð æ t s ɡ ʊ d	right that's good !
ɡ ɛ t ʌ p ɪ f j uː w ɔ n ə	get up if you wanna .
s oʊ ɪ t s oʊ k eɪ	so it's okay .
s eɪ ð ɛ ɹ ɪ ɾ ɪ z	say there it is !
aɪ m ɡ ə n ə h æ v	i'm gonna have .
d oʊ n t d uː ð ɪ s	don't do this !
k æ n j uː ɡ ɛ t ʌ p ʌ p	can you get up up ?
w ʌ t ɐ b aʊ t w ʌ t	what about what ?
oʊ w ʌ t s ð ɪ s	oh what's this .
ð eɪ d oʊ n t w ʌ t	they don't what ?
æ n d n oʊ w ʌ t	and know what ?
j ɛ h w ɛ ɹ d ʌ z ð æ t ɡ oʊ	yeah where does that go ?
ɡ oʊ ɡ oʊ	go go !
w ʌ t s d uː d uː	what's do do ?
w ɔ n ə s iː ð ɛ m	wanna see them ?
oʊ n oʊ w ʌ t s ɡ oʊ ɪ ŋ ɔ n	oh no what's going on ?
h ɪ ɹ l ɛ t s l ʊ k æ t ð ɪ s	here let's look at this !
w ɛ l ɪ t s f ɔː ɹ ɪ t s f ɔː ɹ	well it's for it's for .
w ɛ l h ɪ ɹ ɪ ɾ ɪ z	well here it is .
s iː j uː k æ n d uː ɪ t	see you can do it .
aɪ w ɔ n ə p l eɪ ɪ t	i wanna play it .
oʊ ð ɛ ɹ ʃ iː ɪ z	oh there she is !
ɪ t s n oʊ ɡ ʊ d	it's no good .
j ɛ h ɪ f j uː w ɔ n ə	yeah if you wanna .
l ʊ k j uː w ɔ n ə	look you wanna ?
h iː d ɪ d ɪ t	he did it .
l ɛ t s p ʊ t j uː h ɪ ɹ	let's put you here !
w ɔ n ə k ʌ m	wanna come ?
aɪ aɪ d oʊ n t n oʊ	i i don't know .
j uː iː t s ʌ m t uː	you eat some too .
j uː d uː w ʌ n	you do one .
l ʊ k æ t w ʌ t	look at what ?
w ɛ l ɔː l ɹ aɪ t	well all right .
w ɛ ɹ ɪ z ð ə b eɪ b i	where is the baby ?
l ɛ t s θ ɪ ŋ k	let's think .
w ɛ l j ɛ h ɪ t d ʌ z	well yeah it does .
w ʌ t ɪ z ð ɛ ɹ t ə m eɪ k	what is there to make ?
w ɔ n ə ɡ ɛ t d aʊ n	wanna get down .
oʊ ɪ t s f ɔː ɹ j uː	oh it's for you ?
ɹ aɪ t ð ɛ ɹ ɹ aɪ t ð ɛ ɹ b eɪ b i	right there right there baby .
æ n d ð ɛ n w iː k æ n iː t	and then we can eat .
k æ n ʃ iː m eɪ k ɪ t	can she make it ?
t ə ɡ oʊ h ɪ ɹ	to go here .
b ɪ k ʌ z d uː j uː s iː	because do you see ?
j ɛ h ɑː ɹ	yeah are ?
l aɪ k ð ɪ s s iː	like this see .
ɐ oʊ k eɪ	a okay .
d uː j uː l aɪ k ð æ t	do you like that ?
ɪ t s oʊ k eɪ ɡ oʊ ɡ ɛ t ɪ t	it's okay go get it .
oʊ n oʊ	oh no !
oʊ aɪ d oʊ n t n oʊ ʌ m	oh i don't know um .
l ɪ ɾ ə l eɪ	little a .
l aɪ k ð æ t	like that ?
d uː j uː h æ v ɐ ʌ m	do you have a um .
j ɛ h b ʌ t ð ɪ s n oʊ	yeah but this no !
ɪ z h iː ɪ n ð ɛ ɹ	is he in there ?
