phonemized_utterance	processed_gloss
w ʌ t d uː θ ɪ ŋ k h iː d ɪ d	what do think he did ?
ɡ oʊ d aʊ n æ n d aʊ t	go down and out .
d ʌ z h iː n oʊ j uː ɑː ɹ	does he know you are ?
oʊ k eɪ ð ɛ ɹ ð eɪ ɑː ɹ	okay there they are .
w ʌ t s ɡ oʊ ɪ ŋ ɔ n oʊ v ɚ h ɪ ɹ	what's going on over here ?
d oʊ n t d uː ɪ ɾ oʊ v ɚ ð ɛ ɹ	don't do it over there .
n aʊ j uː w ɔ n ə d uː ɪ t	now you wanna do it .
j uː l aɪ k t ə p ʊ t ɪ t	you like to put it .
w ɛ l h ɪ ɹ j uː ɡ oʊ	well here you go .
j uː k æ n h æ v eɪ	you can have a .
oʊ k eɪ æ n d p ʊ t ð æ t h ɪ ɹ	okay and put that here ?
oʊ k eɪ ɪ z ð æ t ɡ ʊ d	okay is that good ?
n ɑː t ɪ n ɹ aɪ t	not in right ?
j uː d uː l aɪ k ð ə	you do like the .
j ʊ ɹ ɡ ə n ə w ʌ t m iː ʌ p	you're gonna what me up ?
n oʊ aɪ θ ɪ ŋ k j ʊ ɹ ɹ aɪ t	no i think you're right .
ɪ t s ɐ b ɪ ɡ w ʌ n t uː	it's a big one too .
ɪ z ð æ t ɔː l ʌ v ð ɛ m	is that all of them ?
t ə b ɪ ɡ	to big ?
ð æ t b ɪ ɡ w ʌ n	that big one .
w ɛ l w ʌ t s ð ɪ s	well what's this .
j uː d oʊ n t n oʊ ð ɛ m	you don't know them ?
d uː j uː θ ɪ ŋ k ð æ t ʌ m	do you think that um .
ð eɪ ɔː l l aɪ k ð æ t	they all like that .
d uː j uː n oʊ w ʌ t ð ɪ s	do you know what this ?
w ʌ t s ʃ iː ɡ ɑː t w ɪ ð h ɜː	what's she got with her ?
ɑː ɹ j uː	are you ?
s oʊ d uː aɪ	so do i ?
ɡ oʊ t ə ð ə ɹ aɪ t	go to the right ?
ð eɪ t uː b ɪ ɡ	they too big .
h ɪ ɹ k ʌ m s iː m iː	here come see me .
aɪ w ʌ z l aɪ k	i was like .
æ n d l ʊ k ɪ t h ɪ ɹ	and look it here .
oʊ ð æ t s w ʌ t j uː d uː	oh that's what you do .
æ n d aɪ n oʊ	and i know .
p ʊ t ð ɛ m h ɪ ɹ	put them here .
w ɛ ɹ d uː aɪ p ʊ t ɪ t	where do i put it ?
ð ɛ ɹ z ð ə l ɪ ɾ ə l b eɪ b i	there's the little baby .
h ɪ ɹ ɪ z ð ə	here is the .
oʊ k eɪ ɡ ɛ t aʊ t	okay get out !
w ʌ t b eɪ b i	what baby ?
d̠ʒ ʌ s t j uː	just you ?
ʌ v m iː	of me !
ɡ ɑː t w ʌ n ɪ n	got one in .
s eɪ ʌ p	say up !
oʊ n oʊ j uː ɡ ɑː t m iː	oh no you got me .
d ʌ z ʃ iː n oʊ ð æ t	does she know that ?
oʊ j ɛ h ʌ m	oh yeah um .
d oʊ n t j uː w ɔ n ə ɡ oʊ	don't you wanna go ?
b ɪ k ʌ z aɪ w ɔ n t	because i want .
ʌ m j ɛ h	um yeah .
n aʊ aɪ w ʌ t	now i what ?
w ʌ n ɐ w ʌ t	one a what ?
oʊ ð æ t s m aɪ	oh that's my .
w ʌ t h æ v w iː h ɪ ɹ	what have we here ?
w ɛ ɹ ɑː ɹ ð ə	where are the .
ð eɪ ɡ oʊ ɹ aɪ t h ɪ ɹ	they go right here .
s eɪ ð ɛ ɹ h iː ɪ z	say there he is .
w ʌ t w ʌ t w ʌ t	what what what ?
p ʊ t ð æ t ɪ n	put that in .
aɪ m l aɪ k aɪ d oʊ n t n oʊ	i'm like i don't know .
aɪ θ ɪ ŋ k j uː d ɪ d ɪ t	i think you did it .
ð eɪ d̠ʒ ʌ s t d oʊ n t	they just don't .
j uː w ɔ n ə ɡ oʊ ɡ ɛ t ð ɛ m	you wanna go get them ?
s iː h aʊ w iː d uː	see how we do .
ɪ t s ɡ ə n ə b iː ɡ ʊ d	it's gonna be good .
oʊ n ɑː t n aʊ	oh not now .
oʊ ð ə b ɪ ɡ w ʌ n j ɛ h	oh the big one yeah !
n ɑː t t ə ɡ ʊ d	not to good .
w iː k æ n ɔː l p l eɪ	we can all play !
s ʌ m ɑː ɹ n ɑː t	some are not .
k æ n j uː d uː ð ɪ s	can you do this ?
oʊ k eɪ æ n d ð æ t ɪ z ɪ t	okay and that is it .
p ʊ t ɪ ɾ ʌ p ð ɛ ɹ	put it up there !
l ɛ t s s iː j ɛ h	let's see yeah ?
w ɛ l ð æ t s oʊ k eɪ ð æ t s oʊ k eɪ	well that's okay that's okay .
w ɔ n ə ɡ oʊ ɪ n	wanna go in ?
s oʊ ɪ t b iː ɐ w ʌ t	so it be a what ?
d uː j uː w ɔ n ə p ʊ t w ʌ t	do you wanna put what ?
d ɪ d j uː m eɪ k ɪ t	did you make it ?
oʊ w ʌ t s ɡ oʊ ɪ ŋ ɔ n h ɪ ɹ	oh what's going on here .
ð æ t s ɹ aɪ t ʃ iː d ʌ z	that's right she does .
h aʊ d ʌ z ð æ t d uː ð æ t	how does that do that ?
j uː d̠ʒ ʌ s t w ɔ n ə iː t ɪ t	you just wanna eat it ?
d uː j uː w ɔ n ə ɡ ɛ t aʊ t	do you wanna get out ?
oʊ k eɪ s iː j uː ð ɛ n	okay see you then .
ɡ ə n ə m eɪ k ɐ w ʌ t	gonna make a what ?
j uː n oʊ w ʌ t j uː	you know what you .
ɪ t d ʌ z	it does !
w ʌ t s ð ɪ s ʌ p h ɪ ɹ	what's this up here ?
n oʊ ð æ t s ɐ ʌ m	no that's a um .
æ n d ɪ t s ɡ oʊ ɪ ŋ ʌ p	and it's going up .
h aʊ d ɪ d ð æ t ɡ oʊ	how did that go ?
w ʌ t d ʌ z ʃ iː h æ v ɔ n	what does she have on ?
h iː z ɡ oʊ ɪ ŋ t ʊ iː t	he's going to eat .
oʊ h ɪ ɹ h ɪ ɹ	oh here here .
oʊ k eɪ j uː w ɔ n ə ɡ ɛ t aʊ t	okay you wanna get out ?
j uː k æ n oʊ	you can oh .
oʊ l ʊ k æ ɾ ɔː l ð ɪ s	oh look at all this !
l ɛ t s ɡ ɛ t d aʊ n	let's get down .
oʊ aɪ θ ɪ ŋ k ð æ t s ɹ aɪ t	oh i think that's right !
b ɪ k ʌ z ɪ f j ʊ ɹ n ɑː t	because if you're not .
s oʊ ð æ t s	so that's .
ɡ oʊ ɪ n ɹ aɪ t h ɪ ɹ	go in right here !
iː t iː t iː t iː t	eat eat eat eat .
oʊ ɪ t s ɐ ɡ ʊ d w ʌ n	oh it's a good one ?
l aɪ k s oʊ	like so .
w ɪ ð h ɪ m	with him .
oʊ k eɪ l ʊ k æ t ð ɪ s	okay look at this .
h aʊ d uː w iː ɡ ɛ t ɪ t	how do we get it ?
n oʊ p ʊ t ɪ t ɹ aɪ t h ɪ ɹ	no put it right here .
ɪ z ð æ t w ʌ t j uː h æ v	is that what you have ?
n aʊ j uː ɡ ɑː t	now you got .
d̠ʒ ʌ s t j uː	just you .
aɪ d ɪ d l ʊ k ð ɛ ɹ	i did look there .
n aʊ w ʌ t d uː j uː θ ɪ ŋ k	now what do you think ?
n oʊ n ɑː t h ɜː	no not her .
æ n d w ʌ t ɐ b aʊ t h ɪ m	and what about him ?
j ʊ ɹ j ʊ ɹ	your your .
k æ n j uː l ʊ k ɪ n ɪ t	can you look in it ?
j uː w ɔ n ə ɡ ɛ t ɪ t	you wanna get it ?
ʃ iː d oʊ n t w ɔ n ə ɡ oʊ	she don't wanna go !
ɹ aɪ t æ n d w ʌ t s ð ɪ s	right and what's this ?
ð æ t s w ʌ n ʌ v ð ɛ m	that's one of them .
j uː d uː	you do .
s oʊ w ʌ t h æ v j uː	so what have you ?
n aʊ ʌ m d aʊ n h ɪ ɹ	now um down here ?
j uː d ɪ d	you did !
n ɑː t m iː n ɑː t j uː	not me not you .
h aʊ ɐ b aʊ t l ɪ ɾ ə l w ʌ n	how about little one ?
s oʊ ð ɛ ɹ	so there .
ɔː ɹ w iː h æ v eɪ	or we have a .
æ n d w ʌ t ɪ z æ t	and what is at ?
w ɛ l p ʊ t ð ɛ m ɪ n	well put them in .
oʊ w ʌ t w ʌ z ð æ t	oh what was that .
w ʌ t d ʌ z ʃ iː w ɔ n ə d uː	what does she wanna do ?
b ɪ k ʌ z w iː l aɪ k ɪ t t uː	because we like it too .
æ n d æ n d j uː s iː ʃ iː	and and you see she .
j uː ɡ ə n ə ɡ oʊ	you gonna go ?
w ɛ l oʊ k eɪ l ɛ t s s iː j uː	well okay let's see you .
h ɪ ɹ aɪ θ ɪ ŋ k	here i think .
j ɛ h æ n d j uː l aɪ k ɪ t	yeah and you like it ?
oʊ k eɪ k ʌ m ɔ n	okay come on .
l ʊ k w ʌ t s ɪ n h ɪ ɹ	look what's in here !
s iː s iː ð æ t	see see that ?
ʌ m j ɛ h aɪ d oʊ n t n oʊ	um yeah i don't know .
ɹ aɪ t oʊ v ɚ h ɪ ɹ ɑː ɹ s ʌ m	right over here are some .
k æ n j uː s eɪ b eɪ b i	can you say baby ?
oʊ h aʊ ɐ b aʊ t h ɪ ɹ	oh how about here ?
ɔː l ð ɪ s w ʌ z ɐ b aʊ t	all this was about .
ɡ oʊ ɔ n iː t	go on eat .
p ʊ t ð ə b eɪ b i d aʊ n	put the baby down .
aɪ m ɡ ə n ə b iː	i'm gonna be .
w ʌ t s ð ɪ s	what's this .
s oʊ k æ n aɪ k ʌ m	so can i come ?
n aʊ d uː ɪ t ɹ aɪ t	now do it right .
j uː ɡ oʊ ɪ ŋ t ʊ iː t ð ɪ s	you going to eat this ?
oʊ l ʊ k h ɪ ɹ	oh look here !
j ɛ h n ɑː t w ʌ n	yeah not one .
ɪ t s n oʊ	it's no .
oʊ k eɪ w ʌ t s ɪ n h ɪ ɹ	okay what's in here ?
w ʌ t ɐ b aʊ t h ɜː	what about her ?
w ɔ n ə ɡ oʊ oʊ v ɚ ð ɛ ɹ	wanna go over there ?
ɪ t s ɪ n m aɪ h ɪ ɹ	it's in my here .
aʊ t h ɪ ɹ h ɪ ɹ	out here here .
oʊ k eɪ ð æ t s ɡ ʊ d	okay that's good !
w ʌ t k æ n w iː d uː ð ɛ n	what can we do then ?
w iː d oʊ n t p l eɪ w ɪ ð ð æ t	we don't play with that .
h aʊ ɐ b aʊ t j uː k æ n j uː	how about you can you .
d oʊ n t w iː n oʊ	don't we know ?
oʊ j uː l aɪ k ð æ t	oh you like that ?
j ɛ h w ɛ l aɪ	yeah well i .
w ʌ t ɑː ɹ h ɪ ɹ	what are here ?
ð ɛ ɹ z eɪ	there's a .
w ɔ n ə p ʊ t ð æ t ɔ n m iː	wanna put that on me ?
d oʊ n t ɡ oʊ d aʊ n	don't go down ?
j ɛ h j ʊ ɹ oʊ k eɪ	yeah you're okay .
w iː d̠ʒ ʌ s t h æ v w ɛ l	we just have well .
l ɛ t s s iː j uː	let's see you .
d oʊ n t p ʊ t ɪ ɾ ɔ n	don't put it on .
oʊ ð ɪ s ɔː l ɡ oʊ ɪ ŋ	oh this all going .
ɡ ʊ d b ɪ k ʌ z aɪ d oʊ n t	good because i don't .
oʊ ð æ t w ʌ z ɡ ʊ d w ʌ t	oh that was good what .
ð æ t s ɔː l j uː w ɔ n ə d uː	that's all you wanna do ?
j ɛ h æ n d w ʌ t s ɔː l ð ɪ s	yeah and what's all this ?
l ɛ t s d uː p l eɪ	let's do play .
aɪ l aɪ k ð æ t aɪ d uː	i like that i do .
w ɛ n ɑː ɹ j uː ɡ oʊ ɪ ŋ	when are you going ?
oʊ k eɪ ð ɪ s	okay this .
n aʊ n oʊ	now no .
w ʌ t d ɪ d w iː h æ v	what did we have ?
n aʊ p ʊ t ɪ ɾ ɪ n	now put it in .
d ɪ d j uː s iː ð æ t	did you see that ?
n oʊ n aʊ	no now !
j ɛ h l ɛ t s n ɑː t oʊ k eɪ	yeah let's not okay .
l ʊ k æ t l ʊ k æ t	look at look at .
j uː ɡ ə n ə ɡ oʊ ɡ oʊ ɡ oʊ	you gonna go go go ?
oʊ n aʊ w ʌ t s ð ɪ s	oh now what's this ?
h ɪ ɹ ʃ iː ɪ z	here she is !
h ɪ ɹ ɡ ɛ t ɪ t	here get it .
b eɪ b i k æ n ɡ oʊ ɪ n ð ɛ ɹ	baby can go in there .
d ɪ d aɪ ɡ ɛ t ɪ t	did i get it ?
æ n d l ɛ t s s iː h ɪ ɹ	and let's see here .
j uː iː t w ʌ t j uː ɡ ɑː t	you eat what you got .
j uː k æ n k ʌ m aʊ t	you can come out .
ð æ t j uː t uː b ɪ ɡ	that you too big ?
oʊ k eɪ k ʌ m ɔ n d aʊ n	okay come on down .
aʊ t w ɛ ɹ	out where ?
aɪ d uː ð æ t	i do that .
s iː ɪ f j uː l aɪ k ɪ t	see if you like it .
w ɛ l w ɛ ɹ ɪ z ð ɪ s	well where is this .
ɑː ɹ ð eɪ ɡ ə n ə b iː oʊ k eɪ	are they gonna be okay ?
ɔː ɹ n oʊ	or no ?
oʊ h iː z	oh he's .
æ n d n oʊ ð æ t s ɐ b aʊ t ɪ t	and no that's about it .
oʊ ð æ t s ɐ ɡ ʊ d w ʌ n	oh that's a good one .
j uː l aɪ k ð ɪ eɪ	you like the a ?
d oʊ n t j uː θ ɪ ŋ k	don't you think .
ð ə l ɪ ɾ ə l w ʌ t	the little what ?
oʊ k eɪ ʌ m oʊ k eɪ	okay um okay .
n oʊ ɹ aɪ t	no right ?
l aɪ k ð ɪ s æ n d l aɪ k ð ɪ s	like this and like this .
h ɪ ɹ w iː k ʌ m	here we come !
j ɛ h j uː d ɪ d	yeah you did .
ð ɪ s ɪ z n ɑː t f ɔː ɹ j uː	this is not for you .
j ʊ ɹ aɪ d oʊ n t n oʊ	you're i don't know .
aɪ iː t ɪ t	i eat it .
ð ɪ s w iː d oʊ n t h æ v	this we don't have .
d uː j uː w ɔ n t ɪ t	do you want it ?
h ɪ ɹ l ʊ k l ʊ k	here look look !
l ɛ t s s iː ð æ t n aʊ	let's see that now .
s oʊ w ʌ t s ɡ oʊ ɪ ŋ ɔ n h ɪ ɹ	so what's going on here ?
s iː ð æ t s	see that's .
w iː ɑː ɹ	we are ?
æ n d w ʌ t d ʌ z ð æ t s eɪ	and what does that say ?
d ʌ z ð æ t l ʊ k ɡ ʊ d	does that look good ?
ʌ p h ɪ ɹ ð ɛ ɹ z w ʌ n	up here there's one .
h aʊ d uː aɪ d uː ɪ t	how do i do it ?
ɹ aɪ t oʊ l ʊ k ɐ ð ɛ ɹ	right oh look a there .
ð æ t s w ʌ t j uː	that's what you .
æ n d aɪ h æ v	and i have .
aʊ t ð æ t	out that .
l aɪ k ð ɪ s ɔː ɹ l aɪ k ð ɪ s	like this or like this ?
oʊ j uː l aɪ k ð æ t b eɪ b i	oh you like that baby ?
n oʊ h iː ɪ z	no he is .
aɪ m n ɑː t	i'm not ?
d oʊ n t w ɔ n ə p l eɪ w ɪ ð m iː	don't wanna play with me ?
aɪ h æ v ð ɛ m ɹ aɪ t h ɪ ɹ	i have them right here .
aɪ s eɪ ʌ v	i say of .
n aʊ l ʊ k æ t h ɪ m	now look at him .
k ʌ m ɡ ɛ t ð ɛ m	come get them !
ʌ m aɪ k æ n	um i can .
d uː j uː w ɔ n ə s iː ð ɪ s	do you wanna see this ?
aɪ w ɔ n ə p l eɪ w ɪ ð ɪ t	i wanna play with it .
d uː j uː n oʊ h aʊ	do you know how .
oʊ ɑː ɹ w iː ɡ oʊ ɪ ŋ	oh are we going ?
n aʊ aɪ m ɡ ə n ə d uː	now i'm gonna do .
ɪ f j uː k æ n d uː ð æ t	if you can do that .
ɪ z ɪ ɾ ɐ w ʌ t	is it a what ?
j uː θ ɪ ŋ k aɪ d ɪ d	you think i did ?
oʊ b eɪ b i	oh baby .
n aʊ aɪ d ɪ d	now i did .
oʊ aɪ ɡ ɑː t ɪ ɾ ɔ n	oh i got it on .
aɪ w ɔ n t s ʌ m	i want some !
s oʊ ð ɪ ʌ m	so the um .
b ɪ k ʌ z l ʊ k w ʌ t aɪ h æ v	because look what i have !
d uː j uː w ɔ n ə p l eɪ ð æ t	do you wanna play that ?
l ɛ t s s iː h aʊ j uː d uː	let's see how you do .
j uː iː t w ʌ n	you eat one .
oʊ j uː ɑː ɹ s oʊ ɡ ʊ d	oh you are so good .
h aʊ ɐ b aʊ t ɔ n ð ɛ ɹ	how about on there ?
w ɛ l k ʌ m ɔ n ð ɛ n	well come on then .
s iː w ʌ t w iː ɡ ɑː t	see what we got .
n oʊ d oʊ n t p ʊ t	no don't put !
w ɛ l p ʊ t ð æ t ɪ n ð ɛ ɹ	well put that in there .
ɔ n j uː	on you ?
h ɪ ɹ k ʌ m k ʌ m	here come come .
j uː d oʊ n t s eɪ b ɪ k ʌ z	you don't say because .
j uː d oʊ n t	you don't .
d ɪ d w iː d̠ʒ ʌ s t d uː ð æ t	did we just do that ?
ð æ t s ð æ t s ɔː l	that's that's all .
b ɪ k ʌ z ɪ t w ʌ z ɪ n ð ɛ ɹ	because it was in there .
ɔː l ɹ aɪ t ɔː l ɹ aɪ t	all right all right .
aɪ w ɔ n t ð ɛ m ʌ p	i want them up !
æ n d l ʊ k h aʊ ʃ iː ɪ z	and look how she is .
θ ɪ ŋ k j uː l aɪ k ð æ t	think you like that ?
oʊ j ɛ h h ɪ ɹ ɪ ɾ ɪ z	oh yeah here it is .
h aʊ b ɪ ɡ ɪ z b eɪ b i	how big is baby .
oʊ j uː ɡ ɑː t w ʌ n	oh you got one ?
l ʊ k ɪ z ɹ aɪ t	look is right .
j uː ɡ ə n ə p l eɪ w ɪ ð ɪ t	you gonna play with it ?
h ɪ ɹ j uː ɡ oʊ ʌ p	here you go up .
d aʊ n d aʊ n ɹ aɪ t	down down right .
n aʊ h iː z	now he's .
æ n d n oʊ ð æ t s ɐ b aʊ t ɔː l	and no that's about all .
ɡ oʊ n aʊ	go now ?
h iː z ɡ ə n ə w ʌ t	he's gonna what ?
d uː j uː w ɔ n ə	do you wanna ?
s iː w ʌ t d aʊ n ɪ n ð ɛ ɹ	see what down in there ?
d ɪ d j uː d uː ð ɪ s	did you do this ?
l ʊ k æ t h ɪ m d uː ɪ t	look at him do it !
aɪ w ɔ n ə k ʌ m aʊ t	i wanna come out !
h ɪ ɹ ɹ aɪ t oʊ v ɚ h ɪ ɹ	here right over here .
j uː d oʊ n t l aɪ k d̠ʒ ʌ s t m iː	you don't like just me ?
oʊ k eɪ h aʊ d uː j uː m eɪ k	okay how do you make .
n oʊ j ʊ ɹ ɹ aɪ t j ʊ ɹ ɹ aɪ t	no you're right you're right .
æ n d ð eɪ l ʊ k l aɪ k ð æ t	and they look like that .
k æ n j uː p ʊ t h ɪ m ɪ n	can you put him in ?
ʌ m ð æ t s ɡ ʊ d	um that's good !
æ n d æ n d æ n d æ n d	and and and and .
ɔː ɹ w ʌ t ɪ f	or what if .
oʊ aɪ l aɪ k ɪ t	oh i like it .
aɪ θ ɪ ŋ k ɪ t s t uː b ɪ ɡ	i think it's too big .
ɔː ɹ ð ə n ɑː t s oʊ	or the not so .
w ɛ l w ʌ t d ɪ d h iː s eɪ	well what did he say ?
n aʊ l ɛ t s ɡ oʊ h ɪ ɹ	now let's go here .
d oʊ n t oʊ	don't oh !
w ɛ l w ʌ t s h iː d uː	well what's he do ?
d ɪ d h iː l aɪ k j uː	did he like you ?
ɪ z ɔː l oʊ v ɚ j uː	is all over you .
n oʊ h aʊ	no how !
oʊ n oʊ w ʌ t ɪ z ð ɪ s	oh no what is this ?
j ɛ h j uː d uː d oʊ n t j uː	yeah you do don't you ?
n oʊ n ɑː t l aɪ k ð æ t	no not like that .
oʊ j ɛ h w ʌ t s ð æ t	oh yeah what's that ?
k æ n j uː iː t l aɪ k ð æ t	can you eat like that ?
ð ɛ n ɡ ɛ t ʌ p	then get up .
oʊ j uː ɡ ɑː t ð ɛ m ɔː l	oh you got them all ?
b ʌ t aɪ	but i .
d ɪ d ɪ t ɡ oʊ d aʊ n h ɪ ɹ	did it go down here ?
d ʌ z ɪ t	does it ?
j uː ɡ oʊ ɪ n ɪ t	you go in it .
ɪ z ð æ t h ɪ z	is that his .
w ʌ t s ɪ n ð æ t	what's in that ?
n aʊ l ɛ t s l ʊ k h ɪ ɹ	now let's look here .
oʊ ð ɪ s ɪ z m aɪ b eɪ b i	oh this is my baby .
aɪ w ɔ n t ð ə l ɪ ɾ ə l w ʌ n	i want the little one ?
ɹ aɪ t h ɪ ɹ h aʊ ɐ b aʊ t h ɪ ɹ	right here how about here ?
d uː j uː l ʊ k	do you look !
d uː j uː w ɔ n ə ɡ oʊ p l eɪ	do you wanna go play ?
w ɛ l w ʌ t d uː j uː s eɪ	well what do you say ?
oʊ ð æ t ɪ z n ɑː t ɡ ʊ d	oh that is not good .
ð ɛ ɹ w iː ɡ oʊ n aʊ s iː	there we go now see ?
j uː k æ n ɡ oʊ d aʊ n ð ɛ ɹ	you can go down there .
w ʌ t ɪ z ð ɪ s eɪ	what is this a .
aɪ d oʊ n t θ ɪ ŋ k ð eɪ k æ n	i don't think they can .
w ɔ n ə p ʊ t s ʌ m ɔ n	wanna put some on ?
n ɑː t aʊ t ɪ n	not out in .
ð æ t s oʊ v ɚ n aʊ	that's over now .
ð æ t s w ʌ t ɪ t s ɔː l ɐ b aʊ t	that's what it's all about .
j ɛ h n aʊ aɪ s iː ð ɛ m	yeah now i see them .
w ɛ l j uː d uː	well you do ?
aɪ s iː ð ɛ m	i see them !
w ʌ t w ʌ t s w ʌ t b eɪ b i	what what's what baby ?
aɪ p ʊ t ð ɛ m ɔ n	i put them on .
oʊ n oʊ n ɑː t h ɪ m	oh no not him .
ð ɛ ɹ ɡ ɑː t ɪ t	there got it ?
j ɛ h b ʌ t ð ɛ n	yeah but then .
w ʌ t w ʌ t s ð ɪ s	what what's this ?
s oʊ ɪ t w ʌ z j uː n oʊ	so it was you know .
oʊ k eɪ p ʊ t ð ɛ m d aʊ n n aʊ	okay put them down now .
w ɛ l d uː j uː w ɔ n ə ɡ oʊ	well do you wanna go ?
w ʌ t d uː j uː w ɔ n ə s iː	what do you wanna see .
l ɛ t s l ʊ k w ʌ t s ɪ n h ɪ ɹ	let's look what's in here .
j uː ɡ ɛ t d aʊ n	you get down .
j ʊ ɹ n ɑː t ɡ oʊ ɪ ŋ t ə b iː	you're not going to be ?
ð ɛ ɹ h iː ɪ z	there he is .
æ n d j uː p ʊ t ð ə	and you put the .
j uː s iː w ʌ n h ɪ ɹ	you see one here .
ð æ t s w ɛ ɹ ð ə s iː ð æ t	that's where the see that .
n oʊ w ɛ l w iː d oʊ n t n oʊ	no well we don't know .
oʊ n oʊ h ɪ ɹ	oh no here .
w iː k æ n d uː ð æ t	we can do that !
h iː z ɪ n	he's in .
aɪ m ɡ ə n ə ɡ ɛ t j uː aʊ t	i'm gonna get you out .
w ɪ ð eɪ	with a .
ʌ m ɪ z	um is .
h æ v s ʌ m w ʌ t	have some what ?
aɪ d̠ʒ ʌ s t p ʊ t ð æ t ð ɛ ɹ	i just put that there .
ð eɪ ɑː ɹ ɔː l ɪ n	they are all in .
w ɛ l ɡ ɛ t d aʊ n ð ɛ ɹ	well get down there .
oʊ k eɪ ɡ oʊ	okay go .
æ n d w ʌ n ɹ aɪ t ð ɛ ɹ	and one right there .
w ɔ n ə ɡ oʊ s iː	wanna go see ?
w ʌ t w ʌ z ð æ t	what was that ?
j ɛ h j ɛ h ð æ t s oʊ k eɪ	yeah yeah that's okay .
ɑː ɹ j uː ɡ oʊ ɪ ŋ eɪ	are you going a .
ɪ f ɪ f j uː w ɔ n t t uː	if if you want to .
j uː n oʊ w ʌ t ð eɪ h æ v	you know what they have ?
d oʊ n t m eɪ k ɪ ɾ ʌ p	don't make it up .
b eɪ b i t ə k ʌ m h ɪ ɹ	baby to come here .
l ɛ t s s iː w ʌ t w iː h æ v	let's see what we have .
